City,Housing,Cost of Living,Startups,Travel Connectivity,Commute,Safety,Healthcare,Education,Environmental Quality,Taxation,Internet Access
"New York, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985
"Los Angeles, CA",1.5274999999999999,4.556000000000001,10.0,3.9585000000000004,3.6770000000000005,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001
"Chicago, IL",3.7020000000000004,4.766000000000001,9.513,5.5075,4.57975,3.8320000000000003,8.555,7.999,6.8045,4.062,6.599499999999999
"Miami, FL",3.0309999999999997,4.497,8.0225,4.1690000000000005,4.0527500000000005,4.321,8.528999999999998,4.3945,6.292,4.772,5.824
"Dallas, TX",5.259000000000001,6.090999999999999,7.939500000000001,4.746499999999999,4.4704999999999995,4.3389999999999995,8.439333333333332,4.284,6.693,4.772,6.4609999999999985
"Houston, TX",5.224500000000001,6.162,7.9345,4.338500000000001,4.03075,3.1289999999999996,8.611,4.928,5.304500000000001,4.772,6.248499999999999
"Philadelphia, PA",4.207,4.422000000000001,7.3625,3.5559999999999996,4.1315,3.1329999999999996,8.621666666666666,6.0285,5.1240000000000006,3.7785,7.443
"Atlanta, GA",4.9755,5.241,8.835,5.2915,3.8977500000000003,2.6725,8.533999999999999,6.456999999999999,5.817749999999999,4.204,6.4805
"Washington, DC",1.2105000000000001,3.5949999999999993,8.774000000000001,4.505000000000001,4.457000000000001,2.1915,8.490666666666666,5.968500000000001,6.9937499999999995,4.062,3.825500000000001
"Boston, MA",1.0,4.259,9.565000000000001,3.215,4.39625,7.742000000000001,8.956,8.6245,8.1705,4.062,5.700500000000001
"Phoenix, AZ",6.5329999999999995,6.208,6.508500000000001,3.3024999999999998,4.828500000000001,2.5829999999999997,8.567333333333334,4.590999999999999,4.625249999999999,4.488,6.178
"Detroit, MI",6.223000000000001,6.032,5.4015,3.6405,0.9329999999999999,4.4615,8.278999999999998,5.8185,4.04675,3.7785,6.167000000000002
"San Francisco, CA",1.0,2.618,10.0,3.6545000000000005,4.687250000000001,5.7155000000000005,8.748,8.6245,6.4815000000000005,4.488,5.605500000000001
"Seattle, WA",2.291,3.79,8.367,2.8845,4.523750000000001,5.6365,8.724333333333332,5.7145,7.560250000000001,4.772,4.940499999999999
"San Diego, CA",2.9335,5.156000000000001,8.3505,2.6220000000000003,4.40975,6.933,8.767666666666665,5.4575,7.26725,4.488,5.999
"Minneapolis, MN",4.738500000000001,5.042000000000001,6.5264999999999995,3.544,4.924999999999999,5.085000000000001,8.972,5.2745,8.362,4.062,6.258499999999999
"Tampa, FL",5.696,5.253,6.3469999999999995,2.9055000000000004,1.40075,4.706499999999999,8.781666666666666,4.2805,7.37875,4.772,7.195
"Brooklyn, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985
"Denver, CO",3.8375,5.102,7.8645,4.243,4.530000000000001,5.371,8.615666666666666,3.6245,7.11675,4.346,5.418500000000001
"Queens, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985
"Baltimore, MD",4.829999999999999,4.982,0.0,3.6664999999999996,4.93475,2.373,8.944666666666665,5.8805,5.784500000000001,4.062,4.988
"Las Vegas, NV",7.0009999999999994,5.7589999999999995,7.515,3.5285,4.807499999999999,2.385,7.984666666666667,3.6245,5.556500000000001,4.772,5.3035
"St. Louis, MO",6.958,5.504,5.424000000000001,2.5315,5.085500000000001,3.8805000000000005,8.877333333333333,5.2715,7.37425,4.062,8.909
"Riverside, CA",1.5274999999999999,4.556000000000001,10.0,3.9585000000000004,3.6770000000000005,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001
"Portland, OR",4.138,4.924,6.957,2.2405,4.9079999999999995,5.1805,8.596666666666666,4.2155,8.4595,3.9205,5.968500000000001
"San Antonio, TX",6.402000000000001,6.683,5.356,1.6815000000000002,4.9647499999999996,4.2165,8.633333333333333,4.151999999999999,6.201499999999999,4.772,8.0745
"Sacramento, CA",1.0,2.618,10.0,3.6545000000000005,4.687250000000001,5.7155000000000005,8.748,8.6245,6.4815000000000005,4.488,5.605500000000001
"San Jose, CA",1.0,2.618,10.0,3.6545000000000005,4.687250000000001,5.7155000000000005,8.748,8.6245,6.4815000000000005,4.488,5.605500000000001
"Orlando, FL",5.778499999999999,5.284,6.5975,3.7734999999999994,4.33875,4.134,8.274,3.6245,6.676,4.772,4.886
"Cleveland, OH",7.155999999999999,5.595,4.961,2.0775000000000006,4.42125,3.6369999999999996,8.899000000000001,4.6185,7.2505,3.9205,5.476500000000001
"Pittsburgh, PA",5.963500000000002,4.795,6.5075,1.7379999999999998,4.308,4.791,8.582333333333333,6.5935,6.874250000000001,3.7785,8.669500000000001
"Manhattan, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985
"Austin, TX",4.3345,5.3549999999999995,9.236,1.8515000000000004,4.3305,5.069,8.686666666666666,5.315000000000001,7.03075,4.772,9.049
"Cincinnati, OH",6.6775,6.1080000000000005,6.0995,1.9264999999999999,4.743500000000001,4.975,8.637999999999998,4.2805,7.1095,3.9205,6.512000000000001
"Indianapolis, IN",6.266,5.478,5.503,1.6815000000000002,4.85875,3.968,8.597666666666665,3.6245,6.1605,4.062,5.875500000000001
"Kansas City, MO",6.7075,5.844,2.793999999999999,1.8689999999999998,1.9725000000000004,4.422500000000001,8.775666666666666,3.6245,7.9765,4.062,8.188500000000001
"Columbus, OH",6.2895,5.746000000000001,5.878500000000001,1.663,5.02675,5.2815,8.688999999999998,5.047499999999999,8.166,3.9205,4.5535
"Charlotte, NC",5.549,4.987,6.247999999999999,3.6790000000000003,4.134,5.347499999999999,8.811333333333334,3.6245,8.009249999999998,4.062,6.3870000000000005
"Bronx, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985
"Milwaukee, WI",6.1225,5.526,4.8305,1.5875,4.915000000000001,4.267,8.594333333333333,4.177,7.989000000000001,4.204,4.346
"Providence, RI",3.1530000000000005,0.0,3.7640000000000002,3.0185,2.422,6.846,8.885333333333334,5.3015,5.900499999999999,4.204,8.9345
"Jacksonville, FL",6.450000000000001,5.359,4.3475,1.5674999999999997,1.40575,3.8255,8.498,3.6245,7.12025,4.772,6.157500000000001
"Salt Lake City, UT",6.141000000000001,6.172000000000001,6.3,2.736999999999999,4.573999999999999,5.657,8.818666666666665,4.2805,6.21575,4.204,6.810500000000001
"Nashville, TN",4.4545,5.742000000000001,6.0600000000000005,1.9080000000000004,4.501,5.078,8.370333333333333,4.733,7.056499999999999,4.772,6.6370000000000005
"Raleigh, NC",6.128500000000001,5.610000000000001,5.497,1.7570000000000001,4.78425,6.5225,8.966666666666667,7.1165,8.583750000000002,4.062,7.9515
"Memphis, TN",7.1145000000000005,5.829,4.449499999999999,1.6615000000000002,1.9175,2.8585000000000003,7.523666666666666,3.6245,4.545249999999999,4.772,6.07
"Richmond, VA",6.439500000000002,5.949,4.2705,1.38,5.648499999999999,3.3765,8.855333333333332,3.6245,6.6217500000000005,4.204,7.645499999999999
"Louisville, KY",7.258,6.358000000000001,4.254,1.4729999999999999,1.954,3.6175,8.558333333333334,3.6245,6.601249999999999,4.062,5.526999999999999
"New Orleans, LA",5.339,4.991999999999999,4.7365,1.7570000000000001,4.6274999999999995,2.088,8.311666666666666,4.151999999999999,5.674,4.346,6.453000000000001
"Oklahoma City, OK",7.261000000000001,6.394,4.1375,1.399,5.0272499999999996,4.6855,8.549,3.6245,7.61525,4.204,7.689
"Buffalo, NY",7.0765,5.228000000000001,3.9470000000000005,1.511,2.154,7.1884999999999994,8.498,4.212,8.329249999999998,3.9205,6.757999999999999
"Fort Worth, TX",5.259000000000001,6.090999999999999,7.939500000000001,4.746499999999999,4.4704999999999995,4.3389999999999995,8.439333333333332,4.284,6.693,4.772,6.4609999999999985
"Honolulu, HI",2.3415000000000004,2.867,4.1335,1.983,4.1617500000000005,6.8565000000000005,8.474,4.2805,6.094000000000001,4.204,6.158
"Omaha, NE",7.040500000000001,5.994000000000001,4.0120000000000005,1.4165,2.1277500000000003,5.5520000000000005,8.879999999999997,4.128,7.876000000000001,4.204,6.3065
"Albuquerque, NM",7.2620000000000005,6.059,3.7720000000000002,1.4555000000000002,5.05575,1.3435,8.508666666666665,4.151999999999999,7.3195,4.346,5.396000000000001
"Birmingham, AL",6.5555,5.133,4.3575,1.4354999999999998,2.02075,1.776,8.743333333333332,3.6245,7.0375,4.204,5.1605
"Sarasota, FL",5.696,5.253,6.3469999999999995,2.9055000000000004,1.40075,4.706499999999999,8.781666666666666,4.2805,7.37875,4.772,7.195
"Rochester, NY",6.727,5.4879999999999995,4.3355,1.3980000000000001,1.90775,5.899,8.585666666666667,4.494999999999999,5.93525,3.9205,5.551
"Concord, CA",1.0,2.618,10.0,3.6545000000000005,4.687250000000001,5.7155000000000005,8.748,8.6245,6.4815000000000005,4.488,5.605500000000001
"Charleston, SC",4.6370000000000005,3.567,4.92,1.399,4.62075,5.0555,8.914333333333332,3.6245,7.276,4.062,6.093
"Colorado Springs, CO",6.4995,5.375,4.267,1.266,1.7352500000000004,5.3774999999999995,8.393666666666666,3.6245,8.526500000000002,4.346,5.9225
"Knoxville, TN",6.9754999999999985,6.447000000000001,3.5165,1.379,1.943,5.1295,8.579333333333333,4.212,3.7232499999999997,4.772,7.092499999999999
"Mission Viejo, CA",1.5274999999999999,4.556000000000001,10.0,3.9585000000000004,3.6770000000000005,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001
"Murrieta, CA",1.5274999999999999,4.556000000000001,10.0,3.9585000000000004,3.6770000000000005,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001
"Des Moines, IA",6.850999999999999,6.327,2.912,1.379,2.0722500000000004,6.984,8.841333333333331,3.6245,8.68225,4.346,5.6979999999999995
"Worcester, MA",1.0,4.259,9.565000000000001,3.215,4.39625,7.742000000000001,8.956,8.6245,8.1705,4.062,5.700500000000001
"Mesa, AZ",6.5329999999999995,6.208,6.508500000000001,3.3024999999999998,4.828500000000001,2.5829999999999997,8.567333333333334,4.590999999999999,4.625249999999999,4.488,6.178
"Staten Island, NY",1.0,2.342,10.0,6.675,5.5192499999999995,7.022,8.501666666666665,8.0935,5.233749999999999,3.9205,7.0985
"Long Beach, CA",1.5274999999999999,4.556000000000001,10.0,3.9585000000000004,3.6770000000000005,5.705,8.439666666666666,8.6245,4.7315000000000005,4.7675,5.496500000000001
"Madison, WI",5.8294999999999995,6.173,4.017,1.2295,5.473750000000001,7.362000000000001,9.023666666666665,5.385999999999999,9.524000000000001,4.204,4.9925
